"FileName","OriginalPath","Length","SHA256","Status","Role"
"r2_w3_checkpoint.ps1","C:\Users\CHJ\Downloads\tempa\r2_w3_checkpoint.ps1","18086","71F0CFF5051F98D7068DE22CB2643D68196B624C2851ABB7301CBAD4282232E5","PRESERVED","DOWNLOAD_OR_TOOL"
"r2_w3_first_hardware_run.ps1","C:\Users\CHJ\Downloads\tempa\r2_w3_first_hardware_run.ps1","31113","F377A097C528A55805DCA973C772A26A466AED9BE92DF3CCE19A9168E4533CF6","PRESERVED","DOWNLOAD_OR_TOOL"
"r2_w3_preflight_source.zip","C:\Users\CHJ\Downloads\tempa\r2_w3_preflight_source.zip","26422","6D4AC684F9D209B38418E27F5910DB40281E5C974AE87C6B43099363E8648281","PRESERVED","DOWNLOAD_OR_TOOL"
"r2_w4_checkpoint.ps1","C:\Users\CHJ\Downloads\tempa\r2_w4_checkpoint.ps1","25813","B1D0CD405A0B1EBEFD508C4AE39BC38630868F5D75AC15C26E9759502D6DC3D9","PRESERVED","DOWNLOAD_OR_TOOL"
"r2_w4_first_hardware_run.ps1","C:\Users\CHJ\Downloads\tempa\r2_w4_first_hardware_run.ps1","37377","41CC4BDC616B37C05C1CE94E9B0449A16AD5A515AC7BC1CA94E8B14F99736A10","PRESERVED","DOWNLOAD_OR_TOOL"
"r2_w4_roundtrip.zip","C:\Users\CHJ\Downloads\tempa\r2_w4_roundtrip.zip","32620","FADFBAC0845473B48D5ECF8A4BF6690354F944554959453BB76BCA6E25C4217F","PRESERVED","DOWNLOAD_OR_TOOL"
"r2_w5_capacity_drop_v3.zip","C:\Users\CHJ\Downloads\tempa\r2_w5_capacity_drop_v3.zip","32040","EF56D86449EE2FFD9443CD5468A22C87E1F7F2B8CD1B5D832F13D0AF2A06AC0E","PRESERVED","DOWNLOAD_OR_TOOL"
"r2_w5_checkpoint.ps1","C:\Users\CHJ\Downloads\tempa\r2_w5_checkpoint.ps1","28417","45771DC8D415043B620B7E6E77BF74F014F6DAB8497547FC5A4A111F5CF1935C","PRESERVED","DOWNLOAD_OR_TOOL"
"r2_w5_first_hardware_run.ps1","C:\Users\CHJ\Downloads\tempa\r2_w5_first_hardware_run.ps1","41439","9E7052CAEAF62CB0E8EC6A312ECF222A3832E111966EA6054153E3B273859976","PRESERVED","DOWNLOAD_OR_TOOL"
"r2_w5_preflight_source.zip","C:\Users\CHJ\Downloads\tempa\r2_w5_preflight_source.zip","42445","8AF182DB221B9F9B967EB27D033EC95A1F9E7F11863D27F81A2E12593600C9DF","PRESERVED","DOWNLOAD_OR_TOOL"
