"Cell","K","Mode","BuildDirectory","FirmwareMilestone","ElfSHA256","TraceSHA256","InputEvents","Admissions","CapacityDrops","Processed","Released","Recoveries","MaxDropStreak","MaxDecisionCycles","MaxIrqExitCycles","MaxFinalWindowCycles","FullSampleCount","SampleErrors","CanaryErrors","FaultBits","PoolViolations","SlotViolations","TokenLedgerErrors","DmaErrorFlags","AdcOverrun","Result"
"K=1 NORMAL","1","NORMAL","r2-w6-w6target-k1-normal-16185105","bbc3bf6821c4f6e4dc73beabd5685b8b0828205c","311835D2C505F239C0791F0C144548B24CC5E7BD5E177C5DB2FAF6FA8DF62A93","0A02ADF3465F913F3B16ACBE574EF962DB39E294BF1EAC7915B644EA44776CCD","96","96","0","96","96","0","0","6752","11765","1075","24576","0","0","0x00000000","0","0","0","0","0","PASS"
"K=1 DROP","1","DROP","r2-w6-w6target-k1-drop-eeb059ed","bbc3bf6821c4f6e4dc73beabd5685b8b0828205c","0998BEC54FDCFBA81A5E995DB892A3CEF0B1E6C0C910622CB5B3E7311FB429CE","ABB4414C175478190235026A7B4BB23E38723B9762DFB02E130CD5E3DB8D24B9","96","14","82","14","14","13","6","6808","11833","1099","3584","0","0","0x00000000","0","0","0","0","0","PASS"
"K=2 NORMAL","2","NORMAL","r2-w6-w6target-k2-normal-1518c429","bbc3bf6821c4f6e4dc73beabd5685b8b0828205c","1D44D800B5940882F00D1E6CCCD1FF6E2A30B3661BB19EAE37292E022EE8C3F7","03C735C8368F4025D965B7C46555377758E45CC68D3378F55F94D4E373B81070","96","96","0","96","96","0","0","6800","11836","1075","24576","0","0","0x00000000","0","0","0","0","0","PASS"
"K=2 DROP","2","DROP","r2-w6-w6target-k2-drop-e9491d79","bbc3bf6821c4f6e4dc73beabd5685b8b0828205c","B9D7222ADF3E4BEAD78F53E0F5FACC8C43691E1899E36DC72DCE0155BC3C1FA1","606A9995DEB8B30B7B827DCFFD450B51A99CBE6C3D2149C0765A10D503E2C857","96","15","81","15","15","13","7","6593","11586","1099","3840","0","0","0x00000000","0","0","0","0","0","PASS"
"K=4 NORMAL","4","NORMAL","r2-w6-w6target-k4-normal-77d5741f","bbc3bf6821c4f6e4dc73beabd5685b8b0828205c","68599AA9820108398F80538286070E54DA3A53EC6968FBDBFD64B2E4C3FF32BF","0704CDB78C6A9B37E2F9CC11DFB7E319E0AE5D7E5B5F4C854BB237EB0FE134C1","96","96","0","96","96","0","0","6856","11947","1075","24576","0","0","0x00000000","0","0","0","0","0","PASS"
"K=4 DROP","4","DROP","r2-w6-w6target-k4-drop-64e98478","bbc3bf6821c4f6e4dc73beabd5685b8b0828205c","C732A527A7B49BCAC109C3BCF5E6E402723A457574D447C616FA3D7B7C1E9134","216628C0B066C645E53A64A199E325665D12B40470A8E35FA8DE9A754677251D","96","14","82","14","14","10","8","6880","11737","1099","3584","0","0","0x00000000","0","0","0","0","0","PASS"
"K=8 NORMAL","8","NORMAL","r2-w6-w6target-k8-normal-a6b96a0b","bbc3bf6821c4f6e4dc73beabd5685b8b0828205c","E102911CC6A2C81D65ED03BD63B1558018D59BB507436DD7D2E7B67D69F11B18","011D5953755288F595FD7FA415CF6D7D52D5AEF5EABF0685D2D342039D40D6A4","96","96","0","96","96","0","0","6937","12150","1076","24576","0","0","0x00000000","0","0","0","0","0","PASS"
"K=8 DROP","8","DROP","r2-w6-w6target-k8-drop-7a95200b","bbc3bf6821c4f6e4dc73beabd5685b8b0828205c","B687A7D83E51533622AE77AABFC97E23FF0131964C6B7A2AD041AB48BB756581","8EB3A3281918AB4A984C7C549AD3C7604D9ECDB1F0051F6BCFD812990B60D555","96","15","81","15","15","7","12","6632","11838","1075","3840","0","0","0x00000000","0","0","0","0","0","PASS"
